Metric,Symbol,Data
DERIVATIVES_FUNDING_RATE_CURRENT,BINANCEFTSC_FTS_BTC_USD_221230,[]
DERIVATIVES_FUNDING_RATE_CURRENT,BINANCEFTSC_FTS_ETH_USD_230331,[]
