Date,Coin,actual,predicted,Residual
2021-02-01,aave,-0.3930868526327745,-0.261225269263682,-0.13186158336909248
2021-02-02,aave,-0.3923974748126183,-0.524338061348774,0.13194058653615576
2021-02-03,aave,-0.3860080415632678,-0.36498733753839985,-0.021020704024867942
2021-02-04,aave,-0.3796393924013135,-0.3789486879283185,-0.0006907044729950185
2021-02-05,aave,-0.3765828082226486,-0.3751738182781886,-0.0014089899444600373
2021-02-06,aave,-0.379128430792065,-0.3774154785752752,-0.0017129522167897981
2021-02-07,aave,-0.3791669630889233,-0.3778869259608762,-0.0012800371280470846
2021-02-08,aave,-0.377905049827569,-0.3795119338120774,0.0016068839845083671
2021-02-09,aave,-0.3779287919498756,-0.3787527493798026,0.0008239574299269692
2021-02-10,aave,-0.3752950510773409,-0.37553565058088384,0.00024059950354293758
2021-02-11,aave,-0.3756813081622117,-0.37583859952587734,0.000157291363665657
2021-02-12,aave,-0.3748526691721977,-0.37465279522492345,-0.0001998739472742761
2021-02-13,aave,-0.3775119425565901,-0.37659500311688776,-0.0009169394397023356
2021-02-14,aave,-0.3795392862725059,-0.3789175520137845,-0.0006217342587213626
2021-02-15,aave,-0.3806067476600175,-0.3821061276069745,0.0014993799469569802
2021-02-16,aave,-0.3823100308672036,-0.38211418441310135,-0.00019584645410225532
2021-02-17,aave,-0.3808077383478724,-0.3810636705375666,0.00025593218969421905
2021-02-18,aave,-0.3816297606808502,-0.38128671980101786,-0.0003430408798323348
2021-02-19,aave,-0.383328139777527,-0.3829708379638916,-0.00035730181363541336
2021-02-20,aave,-0.3815969887677646,-0.382259881183967,0.0006628924162023764
2021-02-21,aave,-0.3819175463404163,-0.38222295299667874,0.00030540665626244135
2021-02-22,aave,-0.3849085088498861,-0.3841337083109323,-0.0007748005389537904
2021-02-23,aave,-0.3876438348686838,-0.3873782768357117,-0.0002655580329721241
2021-02-24,aave,-0.3873456182439075,-0.3873095899122085,-3.6028331699022864e-05
2021-02-25,aave,-0.3896656517298987,-0.39001021041085693,0.00034455868095822906
2021-02-26,aave,-0.3908250457287026,-0.3910035545170717,0.00017850878836911388
2021-02-27,aave,-0.3900972912977359,-0.39011886213590197,2.1570838166062867e-05
2021-02-28,aave,-0.3883883255498011,-0.3892634829773952,0.0008751574275941421
2021-03-01,aave,-0.3860081972493157,-0.3863080915005548,0.00029989425123910785
2021-03-02,aave,-0.3855764019954305,-0.38441202487921544,-0.0011643771162150318
2021-03-03,aave,-0.3851981627420273,-0.38446613733431,-0.0007320254077172739
2021-03-04,aave,-0.3868720212861579,-0.3870834701178648,0.00021144883170692852
2021-03-05,aave,-0.3874142757910369,-0.38771790710952714,0.0003036313184902606
2021-03-06,aave,-0.3857509260551404,-0.3859978073417062,0.0002468812865658032
2021-03-07,aave,-0.3837204686182663,-0.3843385831567543,0.0006181145384879794
2021-03-08,aave,-0.3819797429165573,-0.38190864893141196,-7.109398514532073e-05
2021-03-09,aave,-0.3813931178880232,-0.3804897766648103,-0.0009033412232128946
2021-03-10,aave,-0.3843941221475834,-0.3835581066708799,-0.0008360154767034778
2021-03-11,aave,-0.3843583921995875,-0.3850166808882975,0.0006582886887099848
2021-03-12,aave,-0.3868706201117267,-0.3873620323542489,0.0004914122425221934
2021-03-13,aave,-0.3838008804620131,-0.38367354868908554,-0.0001273317729275636
2021-03-14,aave,-0.3864164060669421,-0.38632488804029586,-9.151802664625341e-05
2021-03-15,aave,-0.3874142757910369,-0.3876583414811677,0.00024406569013080137
2021-03-16,aave,-0.3871779443703058,-0.3873571069276245,0.00017916255731870168
2021-03-17,aave,-0.3862472531758852,-0.38629558993664276,4.8336760757550223e-05
2021-03-18,aave,-0.3877637909686003,-0.38753149439530893,-0.00023229657329137954
2021-03-19,aave,-0.387326935918158,-0.3869946078031237,-0.00033232811503425275
2021-03-20,aave,-0.3871983392425823,-0.3874346309174744,0.00023629167489208625
2021-03-21,aave,-0.387398084442054,-0.3877933858312361,0.0003953013891821455
2021-03-22,aave,-0.3898618161502684,-0.3892252972581092,-0.0006365188921591547
2021-03-23,aave,-0.3903189103869393,-0.3900294366775544,-0.0002894737093848687
2021-03-24,aave,-0.3920249180999638,-0.39233946849846885,0.0003145503985050313
2021-03-25,aave,-0.3906875749483959,-0.39140291863830656,0.0007153436899106635
2021-03-26,aave,-0.3881005398902349,-0.388331838136259,0.0002312982460240809
2021-03-27,aave,-0.3886730753314329,-0.3885266692634688,-0.00014640606796412214
2021-03-28,aave,-0.3889800882179163,-0.3884406838092888,-0.0005394044086274863
2021-03-29,aave,-0.3879477340342089,-0.3873670514657874,-0.0005806825684214756
2021-03-30,aave,-0.3866427735806068,-0.3871448532383444,0.0005020796577376307
2021-03-31,aave,-0.386187236204415,-0.38648343521163664,0.0002961990072216647
2021-04-01,aave,-0.386265390600467,-0.385792877421745,-0.0004725131787219894
2021-04-02,aave,-0.3833241697833052,-0.38364667266370156,0.0003225028803963692
2021-04-03,aave,-0.3864950275211379,-0.3864054989704592,-8.952855067867471e-05
2021-04-04,aave,-0.3845829693237013,-0.384427931405982,-0.00015503791771925846
2021-04-05,aave,-0.3850145310485145,-0.3853381546493338,0.0003236236008192783
2021-04-06,aave,-0.386187158361391,-0.38568371935413837,-0.0005034390072526373
2021-04-07,aave,-0.3888656589727006,-0.388422498885103,-0.00044316008759759384
2021-04-08,aave,-0.3871145801488054,-0.3877982796538471,0.0006836995050417127
2021-04-09,aave,-0.3880913544134081,-0.38863661933712434,0.0005452649237162599
