Date,Coin,actual,predicted,Residual
2021-02-01,aave,-0.3930868526327745,-0.2595674977840337,-0.13351935484874078
2021-02-02,aave,-0.3923974748126183,-0.5260124532226753,0.13361497841005704
2021-02-03,aave,-0.3860080415632678,-0.3646695422246368,-0.021338499338630967
2021-02-04,aave,-0.3796393924013135,-0.3790407835279087,-0.0005986088734047934
2021-02-05,aave,-0.3765828082226486,-0.3752038554448782,-0.0013789527777703925
2021-02-06,aave,-0.379128430792065,-0.3773395923959185,-0.0017888383961464638
2021-02-07,aave,-0.3791669630889233,-0.377782649118435,-0.0013843139704882712
2021-02-08,aave,-0.377905049827569,-0.3794566951972631,0.001551645369694099
2021-02-09,aave,-0.3779287919498756,-0.37889127336067696,0.0009624814108013524
2021-02-10,aave,-0.3752950510773409,-0.3756544622343903,0.0003594111570494052
2021-02-11,aave,-0.3756813081622117,-0.37569163628613444,1.0328123922764831e-05
2021-02-12,aave,-0.3748526691721977,-0.3746206460287181,-0.0002320231434796427
2021-02-13,aave,-0.3775119425565901,-0.3766809553589534,-0.00083098719763669
2021-02-14,aave,-0.3795392862725059,-0.37890250435433076,-0.0006367819181751222
2021-02-15,aave,-0.3806067476600175,-0.3820255411460587,0.001418793486041181
2021-02-16,aave,-0.3823100308672036,-0.3821649673357319,-0.0001450635314717008
2021-02-17,aave,-0.3808077383478724,-0.3811168869874574,0.0003091486395849774
2021-02-18,aave,-0.3816297606808502,-0.38128805912703295,-0.0003417015538172419
2021-02-19,aave,-0.383328139777527,-0.3829483290190411,-0.00037981075848592116
2021-02-20,aave,-0.3815969887677646,-0.3822116468938629,0.0006146581260982886
2021-02-21,aave,-0.3819175463404163,-0.38225449838358977,0.0003369520431734663
2021-02-22,aave,-0.3849085088498861,-0.38415024043126494,-0.0007582684186211441
2021-02-23,aave,-0.3876438348686838,-0.38733674921427014,-0.00030708565441367464
2021-02-24,aave,-0.3873456182439075,-0.3873122975095077,-3.332073439982208e-05
2021-02-25,aave,-0.3896656517298987,-0.39001084093817223,0.00034518920827353305
2021-02-26,aave,-0.3908250457287026,-0.3910849875574977,0.0002599418287951294
2021-02-27,aave,-0.3900972912977359,-0.3901464236184471,4.9132320711187116e-05
2021-02-28,aave,-0.3883883255498011,-0.38914831101761604,0.000759985467814972
2021-03-01,aave,-0.3860081972493157,-0.3862733970817604,0.000265199832444718
2021-03-02,aave,-0.3855764019954305,-0.38448527430264634,-0.001091127692784133
2021-03-03,aave,-0.3851981627420273,-0.38448677804441433,-0.000711384697612949
2021-03-04,aave,-0.3868720212861579,-0.38711540215441015,0.00024338086825226313
2021-03-05,aave,-0.3874142757910369,-0.38768460123229304,0.00027032544125615843
2021-03-06,aave,-0.3857509260551404,-0.38590274975394995,0.00015182369880956115
2021-03-07,aave,-0.3837204686182663,-0.38438220678908164,0.0006617381708153292
2021-03-08,aave,-0.3819797429165573,-0.3819771472745436,-2.5956420136585834e-06
2021-03-09,aave,-0.3813931178880232,-0.38048098042152123,-0.0009121374665019832
2021-03-10,aave,-0.3843941221475834,-0.3835395414454406,-0.000854580702142782
2021-03-11,aave,-0.3843583921995875,-0.384887072110472,0.0005286799108845108
2021-03-12,aave,-0.3868706201117267,-0.387420742656199,0.0005501225444723423
2021-03-13,aave,-0.3838008804620131,-0.3837988785989389,-2.001863074196919e-06
2021-03-14,aave,-0.3864164060669421,-0.38628999979062145,-0.00012640627632065637
2021-03-15,aave,-0.3874142757910369,-0.38757482915719,0.00016055336615311555
2021-03-16,aave,-0.3871779443703058,-0.3873927554459462,0.0002148110756404198
2021-03-17,aave,-0.3862472531758852,-0.3863500578676416,0.00010280469175638629
2021-03-18,aave,-0.3877637909686003,-0.3875037378047743,-0.00026005316382599064
2021-03-19,aave,-0.387326935918158,-0.3869219969636418,-0.00040493895451615414
2021-03-20,aave,-0.3871983392425823,-0.3874944666888787,0.0002961274462964236
2021-03-21,aave,-0.387398084442054,-0.3878805502871164,0.0004824658450623964
2021-03-22,aave,-0.3898618161502684,-0.3891717246408224,-0.0006900915094459892
2021-03-23,aave,-0.3903189103869393,-0.38989167694966925,-0.00042723343727002483
2021-03-24,aave,-0.3920249180999638,-0.3923819176169799,0.0003569995170160656
2021-03-25,aave,-0.3906875749483959,-0.39149170804829264,0.0008041330998967422
2021-03-26,aave,-0.3881005398902349,-0.3883194706178275,0.00021893072759260335
2021-03-27,aave,-0.3886730753314329,-0.38855571187197174,-0.00011736345946117277
2021-03-28,aave,-0.3889800882179163,-0.3884259264234417,-0.0005541617944745947
