created_at,neutral,positive,negative
2021-02-01,0.6816071428571429,0.21910000000000002,0.09929999999999999
2021-02-02,0.8971,0.072325,0.030574999999999998
2021-02-03,0.6332444444444444,0.31811666666666666,0.04863888888888889
2021-02-04,0.7867416666666667,0.09332916666666667,0.11996250000000001
2021-02-05,0.5345,0.4423177777777778,0.02317111111111111
2021-02-06,0.8795999999999999,0.0849,0.035525
2021-02-07,0.9347583333333334,0.04399166666666667,0.02125
2021-02-08,0.45852777777777776,0.5245611111111111,0.016900000000000002
2021-02-09,0.8334291666666666,0.10758749999999999,0.05899583333333333
2021-02-10,0.4577833333333334,0.500525,0.041725000000000005
2021-02-11,0.7744619047619048,0.20605238095238096,0.019463095238095238
2021-02-12,0.6556666666666666,0.30654583333333335,0.0378
2021-02-13,0.925475,0.0558,0.01875
2021-02-14,0.9339,0.0331,0.033
2021-02-15,0.7911291666666667,0.18656666666666666,0.022258333333333335
2021-02-16,0.902205,0.07456,0.023225
2021-02-17,0.5784041666666666,0.28336666666666666,0.13822916666666665
2021-02-18,0.762675,0.094125,0.14325000000000002
2021-02-19,0.88225,0.04085,0.0769
2021-02-20,0.9112,0.0676,0.0212
2021-02-21,0.9110266666666668,0.07100000000000001,0.017986666666666668
2021-02-22,0.86505,0.08635,0.04855
2021-02-23,0.23079999999999998,0.28485000000000005,0.484375
2021-02-24,0.447105,0.226105,0.3268
2021-02-25,0.30951666666666666,0.5785083333333333,0.1119
2021-02-26,0.8220000000000001,0.15819,0.01981
2021-02-27,0.92605,0.0441,0.0299
2021-02-28,0.8895333333333334,0.09136666666666667,0.019033333333333333
2021-03-01,0.47655,0.4957625,0.027687499999999997
2021-03-02,0.36262500000000003,0.5704,0.06696250000000001
2021-03-03,0.14838333333333334,0.7601833333333333,0.09143333333333334
2021-03-04,0.8422,0.08427499999999999,0.07355
2021-03-05,0.8456250000000001,0.05925,0.095125
2021-03-06,0.563475,0.36998333333333333,0.0665
2021-03-07,0.8802833333333334,0.08796666666666667,0.0317
2021-03-08,0.416075,0.40214166666666673,0.18178333333333335
2021-03-09,0.5338875,0.31971249999999996,0.146375
2021-03-10,0.8022111111111112,0.1222111111111111,0.0756111111111111
2021-03-11,0.49460000000000004,0.478475,0.02685
2021-03-12,0.472425,0.44451666666666667,0.08305833333333335
2021-03-13,0.9209,0.0423,0.0368
2021-03-15,0.724325,0.20022500000000001,0.0753875
2021-03-16,0.3116,0.2686,0.4198
2021-03-17,0.9329,0.0493,0.0178
2021-03-18,0.7873625,0.06872500000000001,0.1439125
2021-03-19,0.22554166666666667,0.75225,0.022208333333333333
2021-03-21,0.88915,0.099325,0.0116
2021-03-22,0.86705,0.10585,0.027166666666666665
2021-03-23,0.6960599999999999,0.22660750000000002,0.07731
2021-03-24,0.8015100000000001,0.09229,0.10618
2021-03-25,0.9056,0.0516,0.0428
2021-03-26,0.9074,0.03955,0.05295
2021-03-27,0.9058,0.0832,0.011
2021-03-28,0.93375,0.041475,0.02475
2021-03-31,0.4743625,0.40822250000000004,0.1174
2021-04-01,0.918525,0.047325000000000006,0.03415
2021-04-02,0.6160950000000001,0.34428,0.039605
2021-04-03,0.49006249999999996,0.43979999999999997,0.07013749999999999
2021-04-04,0.869875,0.040575,0.089525
2021-04-05,0.15876666666666667,0.7910333333333334,0.050133333333333335
2021-04-06,0.32565,0.28425,0.3901
2021-04-07,0.43965000000000004,0.5284416666666667,0.03191666666666667
2021-04-08,0.635925,0.1955375,0.16848749999999998
2021-04-09,0.9043625,0.0782625,0.017375
2021-04-10,0.9242,0.0603,0.0155
2021-04-11,0.671325,0.2687,0.059975
2021-04-12,0.47496666666666665,0.14073333333333335,0.38435
2021-04-13,0.4216555555555555,0.5589888888888889,0.019355555555555556
2021-04-14,0.7160333333333333,0.10651666666666668,0.17745
2021-04-15,0.0723,0.767075,0.160625
2021-04-16,0.33680000000000004,0.6311833333333333,0.032
2021-04-17,0.92455,0.0505,0.02495
2021-04-19,0.79023,0.18654500000000002,0.023225000000000003
2021-04-20,0.9312999999999999,0.038,0.030733333333333335
2021-04-21,0.6833944444444445,0.12961666666666669,0.18698888888888887
2021-04-22,0.4251775,0.47761750000000003,0.097255
2021-04-23,0.496775,0.485725,0.017475
2021-04-24,0.4910333333333334,0.08209999999999999,0.4269333333333334
2021-04-25,0.8403,0.0289,0.1308
2021-04-26,0.63545,0.3358666666666667,0.028699999999999996
2021-04-28,0.5286,0.03345,0.43805
2021-04-29,0.8814500000000001,0.09872500000000001,0.019825
2021-05-01,0.0224,0.9477,0.0299
2021-05-02,0.8951,0.09295,0.011949999999999999
2021-05-03,0.7458,0.0864,0.16774999999999998
2021-05-05,0.47072499999999995,0.06692500000000001,0.46235
2021-05-06,0.8541,0.1269,0.0191
2021-05-07,0.7501,0.2346,0.0153
2021-05-08,0.6499333333333334,0.04387222222222222,0.3061944444444444
2021-05-09,0.6892,0.2982,0.0127
2021-05-10,0.07,0.2693,0.6607
2021-05-11,0.057550000000000004,0.5829,0.35950000000000004
2021-05-12,0.6379,0.3122666666666667,0.049816666666666676
2021-05-13,0.91275,0.060899999999999996,0.0264
2021-05-16,0.4934,0.49385,0.012750000000000001
2021-05-17,0.43271666666666664,0.19296666666666665,0.37433333333333335
2021-05-18,0.5386000000000001,0.3352333333333333,0.1262222222222222
2021-05-19,0.7805,0.1246,0.09485
2021-05-20,0.6743,0.04,0.2858
2021-05-21,0.8401666666666667,0.1414,0.018433333333333333
2021-05-23,0.3895,0.299,0.3115
2021-05-24,0.8914,0.0867,0.0218
2021-05-26,0.03625,0.6591,0.30465000000000003
2021-05-27,0.1395,0.02165,0.83885
2021-05-28,0.5892000000000001,0.15475,0.25605
2021-05-29,0.6045666666666667,0.04886666666666667,0.34650000000000003
2021-05-30,0.7333000000000001,0.16632,0.10038
2021-05-31,0.8406857142857144,0.13192857142857142,0.027385714285714288
2021-06-01,0.764875,0.2104916666666667,0.02454166666666667
