coin_id,timestamp,Market Cap
bitcoin,2021-01-01,545593282215.2498
bitcoin,2021-01-02,597887713053.5825
bitcoin,2021-01-03,613616917625.6967
bitcoin,2021-01-04,585726270248.7891
bitcoin,2021-01-05,633651671519.3958
bitcoin,2021-01-06,682743683563.0741
bitcoin,2021-01-07,735339707368.3339
bitcoin,2021-01-08,758971014787.3597
bitcoin,2021-01-09,749347201462.6359
bitcoin,2021-01-10,714078952009.0243
bitcoin,2021-01-11,663380898829.0051
bitcoin,2021-01-12,629751630408.4126
bitcoin,2021-01-13,696668634091.3435
bitcoin,2021-01-14,729751433670.0881
bitcoin,2021-01-15,684304915288.2261
bitcoin,2021-01-16,674660879866.02
bitcoin,2021-01-17,672291934493.4396
bitcoin,2021-01-18,682647247200.097
bitcoin,2021-01-19,671734819189.1033
bitcoin,2021-01-20,662434464441.264
bitcoin,2021-01-21,575205510268.1292
bitcoin,2021-01-22,613271077002.4795
bitcoin,2021-01-23,596744391345.3533
bitcoin,2021-01-24,600595408892.1986
bitcoin,2021-01-25,602517850752.0305
bitcoin,2021-01-26,606573549809.8268
bitcoin,2021-01-27,566661443732.4073
bitcoin,2021-01-28,616625386428.2396
bitcoin,2021-01-29,635688668063.594
bitcoin,2021-01-30,636624676861.2642
bitcoin,2021-01-31,615013848827.3505
bitcoin,2021-02-01,621908231690.1377
bitcoin,2021-02-02,660664104637.4851
bitcoin,2021-02-03,695794870715.5251
bitcoin,2021-02-04,686453802173.3838
bitcoin,2021-02-05,706320162928.6615
bitcoin,2021-02-06,732453192636.7231
bitcoin,2021-02-07,723434796637.7434
bitcoin,2021-02-08,862413737410.9171
bitcoin,2021-02-09,867164581003.3563
bitcoin,2021-02-10,839561451461.0575
bitcoin,2021-02-11,890629045243.5952
bitcoin,2021-02-12,880620921496.0787
bitcoin,2021-02-13,874425017687.0778
bitcoin,2021-02-14,905515462576.995
bitcoin,2021-02-15,892345220938.2782
bitcoin,2021-02-16,917339726314.6964
bitcoin,2021-02-17,971516568847.578
bitcoin,2021-02-18,963911356673.4604
bitcoin,2021-02-19,1044189900351.5892
bitcoin,2021-02-20,1050555931433.1447
bitcoin,2021-02-21,1075380337357.9143
bitcoin,2021-02-22,1012091985973.4642
bitcoin,2021-02-23,904133801444.5278
bitcoin,2021-02-24,929081504353.552
bitcoin,2021-02-25,875883932252.4404
bitcoin,2021-02-26,869070614247.8623
bitcoin,2021-02-27,869649724200.5775
bitcoin,2021-02-28,838307614585.1935
bitcoin,2021-03-01,928146793676.4287
bitcoin,2021-03-02,905413239164.9064
bitcoin,2021-03-03,942969910364.1804
bitcoin,2021-03-04,908517236707.5374
bitcoin,2021-03-05,911379300053.3455
bitcoin,2021-03-06,916504852500.393
bitcoin,2021-03-07,955040794770.1399
bitcoin,2021-03-08,974195000547.444
bitcoin,2021-03-09,1018978819157.4177
bitcoin,2021-03-10,1044805904677.5541
bitcoin,2021-03-11,1077836070933.286
bitcoin,2021-03-12,1069776383193.8628
bitcoin,2021-03-13,1145191373521.5942
bitcoin,2021-03-14,1111684638819.0723
bitcoin,2021-03-15,1049197142851.5631
bitcoin,2021-03-16,1060221966894.7418
bitcoin,2021-03-17,1101028543248.462
bitcoin,2021-03-18,1081065767945.8683
bitcoin,2021-03-19,1086741150606.8165
bitcoin,2021-03-20,1090022321077.5006
bitcoin,2021-03-21,1074356788297.177
bitcoin,2021-03-22,1020641820438.662
bitcoin,2021-03-23,1017637245492.0177
bitcoin,2021-03-24,982797427007.2565
bitcoin,2021-03-25,959155260366.7408
bitcoin,2021-03-26,1027209990794.8939
bitcoin,2021-03-27,1042184275332.6417
bitcoin,2021-03-28,1039333584621.1438
bitcoin,2021-03-29,1075942162536.995
bitcoin,2021-03-30,1095293012032.8433
bitcoin,2021-03-31,1098127310946.8978
bitcoin,2021-04-01,1098583823874.2307
bitcoin,2021-04-02,1103133931136.5508
bitcoin,2021-04-03,1067101827372.9529
bitcoin,2021-04-04,1087344280109.6896
bitcoin,2021-04-05,1096202611389.9541
bitcoin,2021-04-06,1084341670320.8142
bitcoin,2021-04-07,1050759681844.6099
bitcoin,2021-04-08,1083362883828.1199
bitcoin,2021-04-09,1085794662404.731
bitcoin,2021-04-10,1116221525334.3267
bitcoin,2021-04-11,1120606689450.4702
bitcoin,2021-04-12,1118532902101.5269
bitcoin,2021-04-13,1187737045885.1743
bitcoin,2021-04-14,1173412921929.8884
bitcoin,2021-04-15,1179561609816.9358
bitcoin,2021-04-16,1149602869702.2644
bitcoin,2021-04-17,1125592412523.221
bitcoin,2021-04-18,1053618163309.5769
bitcoin,2021-04-19,1043148020633.034
bitcoin,2021-04-20,1055145534127.332
bitcoin,2021-04-21,1012699264345.6595
bitcoin,2021-04-22,971174701492.849
bitcoin,2021-04-23,956744203682.2198
bitcoin,2021-04-24,937014999515.3855
bitcoin,2021-04-25,915533819859.1393
bitcoin,2021-04-26,1008389773189.793
bitcoin,2021-04-27,1027617870421.6592
bitcoin,2021-04-28,1024625833392.2412
bitcoin,2021-04-29,1001973605935.3958
bitcoin,2021-04-30,1082721727348.0433
bitcoin,2021-05-01,1080897634123.2937
bitcoin,2021-05-02,1057850321948.5465
bitcoin,2021-05-03,1069571255195.5189
bitcoin,2021-05-04,999775008412.3738
bitcoin,2021-05-05,1070969079353.5304
bitcoin,2021-05-06,1056801053574.5111
bitcoin,2021-05-07,1072831991777.4056
bitcoin,2021-05-08,1099271802311.4957
bitcoin,2021-05-09,1088903483393.3053
bitcoin,2021-05-10,1045714370754.1615
